Region,Location,Reef,Depht,Spp,Year.2,Number,Tag,Sample,Collection day,Notes,Depth.2
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,32,P.ele,2016,1,284-1,16_284-1,04/18/16,,mid
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,27,P.dam,2014,1,285-1,14_285-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,27,P.dam,2015,1,285-1,15_285-1,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,27,P.dam,2016,1,285-1,16_285-1,04/21/16,,Shallow
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,29,P.dam,2014,1,286-1,14_286-1A,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,29,P.dam,2015,1,286-1A,15_286-1A,08/22/15,,Shallow
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,29,P.dam,2015,1,286-1B,15_286-1B,08/22/15,,Shallow
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,30,P.dam,2014,1,287-1,14_287-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,30,P.dam,2015,1,287-1,15_287-1,08/22/15,,Shallow
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,30,P.dam,2016,1,287-1,16_287-1,04/21/16,,Shallow
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,30,P.dam,2015,1,288-1,15_288-1,08/22/15,,Shallow
Pan_Chiriqui,Uva Island,Ridley Rock Shallow,30,P.dam,2016,1,288-1,16_288-1,04/21/16,,Shallow
Pan_Chiriqui,Uva Island,Gardineroseris city,17,P.dam,2014,1,289-1,14_289-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Gardineroseris city,17,P.dam,2015,1,289-1,15_289-1,08/16/15,,Shallow
Pan_Chiriqui,Uva Island,Gardineroseris city,17,P.dam,2016,1,289-1,16_289-1,04/16/16,,Shallow
